ONEID	ONEName	NEID	NEName	NEType	ShelfID	BrdID	BrdType	BrdName	PortID	PortNO	PortName	MOType	FBName	PathID	EventID	EventName	Period	EndTime	Value	UnitName	PMParameterName	PMLocationID	PMLocation	UpLevel	DownLevel	ResultOfLevel	
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-22 03:30:00+00:00	51.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-22 03:45:00+00:00	52.00	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-22 03:45:00+00:00	51.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-22 03:45:00+00:00	52.00	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-22 04:00:00+00:00	52.00	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-22 04:00:00+00:00	51.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-22 04:00:00+00:00	52.00	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-22 04:15:00+00:00	52.00	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-22 04:15:00+00:00	51.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-22 04:15:00+00:00	51.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-22 04:30:00+00:00	51.50	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-22 04:30:00+00:00	51.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-22 04:30:00+00:00	51.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-22 04:45:00+00:00	52.00	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-22 04:45:00+00:00	51.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-22 04:45:00+00:00	51.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-22 05:00:00+00:00	52.00	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-22 05:00:00+00:00	51.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-22 05:00:00+00:00	51.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-22 05:15:00+00:00	52.00	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-22 05:15:00+00:00	51.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-22 05:15:00+00:00	51.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
